MAPPO update 50/4882 | env_steps=102,400 | return=-68.388 | actor_loss=-0.0296 | value_loss=0.5982 | entropy=1.2993
MAPPO update 51/4882 | env_steps=104,448 | return=-60.648 | actor_loss=-0.0290 | value_loss=0.6907 | entropy=1.3119
MAPPO update 52/4882 | env_steps=106,496 | return=-58.532 | actor_loss=-0.0272 | value_loss=0.6172 | entropy=1.2638
MAPPO update 53/4882 | env_steps=108,544 | return=-58.680 | actor_loss=-0.0289 | value_loss=0.6718 | entropy=1.3000
MAPPO update 54/4882 | env_steps=110,592 | return=-61.221 | actor_loss=-0.0266 | value_loss=0.7418 | entropy=1.2770
MAPPO update 55/4882 | env_steps=112,640 | return=-59.558 | actor_loss=-0.0274 | value_loss=0.7345 | entropy=1.2874
MAPPO update 56/4882 | env_steps=114,688 | return=-59.398 | actor_loss=-0.0255 | value_loss=0.5974 | entropy=1.2528
MAPPO update 57/4882 | env_steps=116,736 | return=-63.126 | actor_loss=-0.0275 | value_loss=0.5510 | entropy=1.2934
MAPPO update 58/4882 | env_steps=118,784 | return=-58.826 | actor_loss=-0.0249 | value_loss=0.7319 | entropy=1.2691
MAPPO update 59/4882 | env_steps=120,832 | return=-63.667 | actor_loss=-0.0290 | value_loss=0.8616 | entropy=1.2593
MAPPO update 60/4882 | env_steps=122,880 | return=-50.621 | actor_loss=-0.0269 | value_loss=0.5832 | entropy=1.2676
MAPPO update 61/4882 | env_steps=124,928 | return=-59.938 | actor_loss=-0.0300 | value_loss=0.5955 | entropy=1.2729
MAPPO update 62/4882 | env_steps=126,976 | return=-70.419 | actor_loss=-0.0293 | value_loss=0.6421 | entropy=1.2603
MAPPO update 63/4882 | env_steps=129,024 | return=-54.640 | actor_loss=-0.0257 | value_loss=0.6355 | entropy=1.2328
MAPPO update 64/4882 | env_steps=131,072 | return=-59.251 | actor_loss=-0.0294 | value_loss=0.6679 | entropy=1.2277
MAPPO update 65/4882 | env_steps=133,120 | return=-56.466 | actor_loss=-0.0285 | value_loss=0.7174 | entropy=1.2287
MAPPO update 66/4882 | env_steps=135,168 | return=-60.371 | actor_loss=-0.0309 | value_loss=0.5115 | entropy=1.2388
MAPPO update 67/4882 | env_steps=137,216 | return=-57.408 | actor_loss=-0.0299 | value_loss=0.7044 | entropy=1.2458
MAPPO update 68/4882 | env_steps=139,264 | return=-57.630 | actor_loss=-0.0287 | value_loss=0.6938 | entropy=1.2462
MAPPO update 69/4882 | env_steps=141,312 | return=-60.239 | actor_loss=-0.0271 | value_loss=0.7210 | entropy=1.2139
MAPPO update 70/4882 | env_steps=143,360 | return=-61.126 | actor_loss=-0.0295 | value_loss=0.5600 | entropy=1.2142
MAPPO update 71/4882 | env_steps=145,408 | return=-58.782 | actor_loss=-0.0302 | value_loss=0.6844 | entropy=1.2356
MAPPO update 72/4882 | env_steps=147,456 | return=-61.685 | actor_loss=-0.0272 | value_loss=0.5506 | entropy=1.2198
MAPPO update 73/4882 | env_steps=149,504 | return=-61.351 | actor_loss=-0.0269 | value_loss=0.6927 | entropy=1.2296
MAPPO update 74/4882 | env_steps=151,552 | return=-60.034 | actor_loss=-0.0281 | value_loss=0.6768 | entropy=1.2081
